id	x	y	status	Site	Desert
122	55.872	22.068	Alive	Burned	Sonora
123	55.471	15.814	Alive	Burned	Sonora
124	52.690	15.193	Alive	Burned	Sonora
125	52.695	11.063	Alive	Burned	Sonora
126	53.242	7.909	Alive	Burned	Sonora
127	54.399	2.241	Alive	Burned	Sonora
128	49.597	5.586	Alive	Burned	Sonora
129	47.306	11.474	Alive	Burned	Sonora
130	44.289	11.985	Alive	Burned	Sonora
131	45.578	16.024	Alive	Burned	Sonora
132	46.805	16.797	Alive	Burned	Sonora
133	45.899	19.565	Alive	Burned	Sonora
134	43.079	18.880	Alive	Burned	Sonora
135	40.319	17.734	Alive	Burned	Sonora
136	42.319	23.592	Alive	Burned	Sonora
137	39.931	21.321	Alive	Burned	Sonora
138	35.022	19.359	Alive	Burned	Sonora
139	33.565	21.605	Alive	Burned	Sonora
140	30.609	17.394	Alive	Burned	Sonora
141	37.365	8.751	Alive	Burned	Sonora
142	39.924	8.017	Alive	Burned	Sonora
143	41.957	13.115	Alive	Burned	Sonora
157	49.365	116.115	Alive	Burned	Sonora
367	17.183	4.517	Alive	Burned	Sonora
144	76.635	112.718	Dead	Burned	Sonora
145	80.124	120.603	Dead	Burned	Sonora
146	72.045	124.973	Dead	Burned	Sonora
147	72.075	120.638	Dead	Burned	Sonora
148	68.583	120.411	Dead	Burned	Sonora
149	64.498	120.575	Dead	Burned	Sonora
150	68.610	114.534	Dead	Burned	Sonora
151	71.293	107.448	Dead	Burned	Sonora
152	68.254	106.328	Dead	Burned	Sonora
153	66.786	107.416	Dead	Burned	Sonora
154	59.268	118.497	Dead	Burned	Sonora
155	55.086	119.720	Dead	Burned	Sonora
156	52.676	121.980	Dead	Burned	Sonora
158	46.643	119.834	Dead	Burned	Sonora
159	45.076	124.978	Dead	Burned	Sonora
160	39.651	125.912	Dead	Burned	Sonora
161	38.251	128.200	Dead	Burned	Sonora
162	37.023	125.363	Dead	Burned	Sonora
163	36.609	123.010	Dead	Burned	Sonora
164	39.044	123.995	Dead	Burned	Sonora
165	41.593	122.294	Dead	Burned	Sonora
166	37.452	120.759	Dead	Burned	Sonora
167	34.924	119.048	Dead	Burned	Sonora
168	32.567	127.463	Dead	Burned	Sonora
169	28.158	127.529	Dead	Burned	Sonora
170	27.261	124.604	Dead	Burned	Sonora
171	30.009	121.186	Dead	Burned	Sonora
172	24.430	117.566	Dead	Burned	Sonora
173	21.954	122.108	Dead	Burned	Sonora
174	23.997	125.722	Dead	Burned	Sonora
175	24.300	129.049	Dead	Burned	Sonora
176	11.696	129.038	Dead	Burned	Sonora
177	9.262	130.000	Dead	Burned	Sonora
178	0.304	127.309	Dead	Burned	Sonora
179	3.174	125.991	Dead	Burned	Sonora
180	4.525	127.436	Dead	Burned	Sonora
181	7.485	125.607	Dead	Burned	Sonora
182	9.177	126.987	Dead	Burned	Sonora
183	7.400	122.899	Dead	Burned	Sonora
184	0.971	122.581	Dead	Burned	Sonora
185	0.193	111.122	Dead	Burned	Sonora
186	3.802	113.627	Dead	Burned	Sonora
187	8.229	112.485	Dead	Burned	Sonora
188	11.664	113.739	Dead	Burned	Sonora
189	0.426	96.116	Dead	Burned	Sonora
190	4.091	93.200	Dead	Burned	Sonora
191	4.155	88.596	Dead	Burned	Sonora
192	7.076	88.740	Dead	Burned	Sonora
193	9.507	88.377	Dead	Burned	Sonora
194	13.032	91.630	Dead	Burned	Sonora
195	11.788	86.575	Dead	Burned	Sonora
196	16.984	92.492	Dead	Burned	Sonora
197	19.333	87.051	Dead	Burned	Sonora
198	19.287	92.896	Dead	Burned	Sonora
199	23.248	95.156	Dead	Burned	Sonora
200	26.774	95.271	Dead	Burned	Sonora
201	28.262	96.290	Dead	Burned	Sonora
202	26.592	103.999	Dead	Burned	Sonora
203	27.937	105.791	Dead	Burned	Sonora
204	29.581	97.785	Dead	Burned	Sonora
205	34.358	96.151	Dead	Burned	Sonora
206	35.634	102.590	Dead	Burned	Sonora
207	36.555	106.590	Dead	Burned	Sonora
208	39.896	105.903	Dead	Burned	Sonora
209	38.553	103.181	Dead	Burned	Sonora
210	40.864	100.819	Dead	Burned	Sonora
211	43.474	100.446	Dead	Burned	Sonora
212	39.418	96.031	Dead	Burned	Sonora
213	34.528	91.493	Dead	Burned	Sonora
214	30.761	88.929	Dead	Burned	Sonora
215	33.234	88.730	Dead	Burned	Sonora
216	38.565	91.789	Dead	Burned	Sonora
217	41.170	88.241	Dead	Burned	Sonora
218	42.785	90.870	Dead	Burned	Sonora
219	42.385	97.463	Dead	Burned	Sonora
220	46.418	98.139	Dead	Burned	Sonora
221	44.941	87.233	Dead	Burned	Sonora
222	44.520	85.602	Dead	Burned	Sonora
223	48.869	84.895	Dead	Burned	Sonora
224	47.683	90.881	Dead	Burned	Sonora
225	58.720	87.765	Dead	Burned	Sonora
226	56.931	86.777	Dead	Burned	Sonora
227	62.351	85.636	Dead	Burned	Sonora
228	60.372	89.428	Dead	Burned	Sonora
229	62.291	89.764	Dead	Burned	Sonora
230	65.697	89.692	Dead	Burned	Sonora
231	67.981	88.600	Dead	Burned	Sonora
232	66.136	90.982	Dead	Burned	Sonora
233	69.559	98.094	Dead	Burned	Sonora
234	68.748	103.251	Dead	Burned	Sonora
235	74.067	97.676	Dead	Burned	Sonora
236	75.254	93.302	Dead	Burned	Sonora
237	74.723	90.220	Dead	Burned	Sonora
238	77.489	86.771	Dead	Burned	Sonora
239	81.820	88.624	Dead	Burned	Sonora
240	81.700	93.063	Dead	Burned	Sonora
241	80.747	84.144	Dead	Burned	Sonora
242	74.597	83.478	Dead	Burned	Sonora
243	68.548	78.722	Dead	Burned	Sonora
244	69.739	81.942	Dead	Burned	Sonora
245	64.831	80.346	Dead	Burned	Sonora
246	59.735	80.838	Dead	Burned	Sonora
247	62.069	76.412	Dead	Burned	Sonora
248	70.776	74.284	Dead	Burned	Sonora
249	72.934	73.234	Dead	Burned	Sonora
250	74.985	72.661	Dead	Burned	Sonora
251	29.421	73.539	Dead	Burned	Sonora
252	34.208	76.908	Dead	Burned	Sonora
253	28.716	68.211	Dead	Burned	Sonora
254	18.717	73.399	Dead	Burned	Sonora
255	16.304	74.818	Dead	Burned	Sonora
256	17.446	72.765	Dead	Burned	Sonora
257	19.973	80.512	Dead	Burned	Sonora
258	15.260	82.177	Dead	Burned	Sonora
259	11.547	83.671	Dead	Burned	Sonora
260	15.281	79.624	Dead	Burned	Sonora
261	12.319	78.334	Dead	Burned	Sonora
262	7.379	74.272	Dead	Burned	Sonora
263	5.270	78.590	Dead	Burned	Sonora
264	3.146	83.139	Dead	Burned	Sonora
265	2.615	85.860	Dead	Burned	Sonora
266	1.821	77.216	Dead	Burned	Sonora
267	4.513	62.130	Dead	Burned	Sonora
268	0.524	50.400	Dead	Burned	Sonora
269	3.583	45.673	Dead	Burned	Sonora
270	5.036	46.830	Dead	Burned	Sonora
271	8.557	44.539	Dead	Burned	Sonora
272	14.069	48.718	Dead	Burned	Sonora
273	17.914	49.942	Dead	Burned	Sonora
274	21.014	48.464	Dead	Burned	Sonora
275	21.040	47.192	Dead	Burned	Sonora
276	15.357	44.952	Dead	Burned	Sonora
277	11.413	53.945	Dead	Burned	Sonora
278	13.338	54.436	Dead	Burned	Sonora
279	18.791	54.547	Dead	Burned	Sonora
280	17.139	56.831	Dead	Burned	Sonora
281	28.533	45.848	Dead	Burned	Sonora
282	26.843	51.290	Dead	Burned	Sonora
283	24.488	50.307	Dead	Burned	Sonora
284	30.439	52.956	Dead	Burned	Sonora
285	33.808	48.571	Dead	Burned	Sonora
286	36.229	51.481	Dead	Burned	Sonora
287	40.920	44.090	Dead	Burned	Sonora
288	45.617	47.145	Dead	Burned	Sonora
289	47.277	47.698	Dead	Burned	Sonora
290	47.429	49.560	Dead	Burned	Sonora
291	51.407	45.273	Dead	Burned	Sonora
292	54.658	47.151	Dead	Burned	Sonora
293	56.370	50.167	Dead	Burned	Sonora
294	55.502	52.490	Dead	Burned	Sonora
295	52.519	52.629	Dead	Burned	Sonora
296	54.525	55.414	Dead	Burned	Sonora
297	52.877	56.159	Dead	Burned	Sonora
298	54.024	59.499	Dead	Burned	Sonora
299	55.523	60.989	Dead	Burned	Sonora
300	55.919	64.098	Dead	Burned	Sonora
301	54.018	64.660	Dead	Burned	Sonora
302	45.003	61.581	Dead	Burned	Sonora
303	48.206	58.069	Dead	Burned	Sonora
304	58.699	58.214	Dead	Burned	Sonora
305	58.495	54.640	Dead	Burned	Sonora
306	59.574	53.047	Dead	Burned	Sonora
307	66.666	51.390	Dead	Burned	Sonora
308	64.178	55.313	Dead	Burned	Sonora
309	62.991	56.736	Dead	Burned	Sonora
310	60.901	60.772	Dead	Burned	Sonora
311	64.029	62.838	Dead	Burned	Sonora
312	65.859	58.450	Dead	Burned	Sonora
313	68.017	59.537	Dead	Burned	Sonora
314	68.880	61.026	Dead	Burned	Sonora
